Class,zID,Name,Latitude,Longitude,Circumference_cm,dbh_cm,Distance_m,Angle,Eye_height_m,Tree_height_m,Tree_type,Notes
Monday AM,z5478661,Kurnell,-33.89249,151.23665,63,20.1,15.1,47,1.65,17.8,Eucalyptus grandis,
Monday AM,z5481585,Cohuna,-33.89236,151.237,63,20.1,15.1,47,1.6,17.8,Eucalyptus grandis,
Tuesday AM,z5481205,Cleve,-33.89295,151.23692,63,20.1,10,50,1.5,13.4,Eucalyptus grandis,
Tuesday AM,z5480579,Cleve,-33.89284,151.23706,62,19.7,8.3,56,1.6,12.3,Eucalyptus grandis,
Monday PM,z5388083,Picton,-33.89251,151.23732,61,19.4,12.8,60,1.5,23.7,Eucalyptus grandis,
Monday AM,z5411018,Milparinka,-33.89268,151.23707,60,19.1,13.4,70,1.6,38.4,Eucalyptus grandis,
Monday AM,z5465916,Cowes,-33.89253,151.23726,60,19.1,6.9,68,1.68,6.4,Eucalyptus grandis,
Tuesday AM,z5418485,Bell,-33.89266,151.23622,60,19.1,10.5,61,1.6,20.5,Eucalyptus grandis,
Tuesday AM,z5444427,Cleve,-33.89284,151.23697,60,19.1,8.6,49,1.7,11.6,Eucalyptus grandis,
Tuesday AM,z5464929,Wittenoom,-33.8927,151.23729,60,19.1,15.6,40,1.6,14.7,Eucalyptus grandis,
Tuesday AM,z5480944,Frankston,-33.89286,151.23648,60,19.1,8.1,28,1.6,5.9,Eucalyptus grandis,
Tuesday AM,z5488725,Bell,-33.89266,151.23722,60,19.1,10.5,60,1.6,19.8,Eucalyptus grandis,
Tuesday AM,z5476849,Picton,-33.89267,151.23718,59,18.8,12,70,1.6,34.6,Eucalyptus grandis,
Tuesday AM,z5477875,Onslow,-33.89249,151.23743,59,18.8,7.1,75,1.6,28.1,Eucalyptus grandis,
Monday AM,z5479964,Hyden,-33.89301,151.23676,58,18.5,5,69,1.7,14.7,Eucalyptus grandis,
Tuesday AM,z5470581,Onslow,-33.89253,151.23749,58,18.5,12.2,46,1.4,14,Eucalyptus grandis,
Tuesday AM,z5477875,Cowes,-33.89251,151.23718,58,18.5,6.5,58,1.6,12,Eucalyptus grandis,
Tuesday AM,z5479741,Cowes,-33.89254,151.23705,58,18.5,6,75,1.6,24,Eucalyptus grandis,
Tuesday AM,z5523350,Hyden,-33.89313,151.23673,58,18.5,6,65,1.7,14.5,Eucalyptus grandis,
Monday AM,z5388066,Baxter,-33.89262,151.23746,57,18.1,9.3,40,1.66,9.5,Eucalyptus grandis,
Monday AM,z5476746,Cleve,-33.89284,151.23691,57,18.1,16.4,45,1.8,18.2,Eucalyptus grandis,
Monday AM,z5481111,Onslow,-33.89248,151.23744,57,18.1,10.2,45,1.7,11.9,Eucalyptus grandis,
Monday AM,z5516576,Birdwood,-33.89242,151.23874,57,18.1,15,55,1.8,21.4,Eucalyptus grandis,
Monday PM,z5388083,Baxter,-33.89267,151.23741,57,18.1,10,44,1.5,11.2,Eucalyptus grandis,
Monday PM,z5476391,Cowes,-33.8925,151.23731,57,18.1,3.1,69,1.8,9.9,Eucalyptus grandis,
Monday PM,z5492140,Cleve,-33.89276,151.23681,57,18.1,12.1,53,1.5,17.6,Eucalyptus grandis,
Tuesday AM,z5364233,Onslow,-33.89247,151.2374,57,18.1,16,41,1.8,15.7,Eucalyptus grandis,
Tuesday AM,z5364233,Baxter,-33.89265,151.23741,56,18,16.7,32,1.8,12.2,Eucalyptus grandis,
Monday AM,z5477700,Dover,-33.8925,151.2372,56,17.8,7.3,56,1.6,12.4,Eucalyptus grandis,
Monday AM,z5478301,Cleve,-33.8928,151.23695,56,17.8,11.1,61,1.6,21.6,Eucalyptus grandis,
Monday AM,z5481585,Gundy,-33.8928,151.2365,56,17.8,7.3,56,1.6,12.4,Eucalyptus grandis,
Tuesday AM,z5470475,Roma,-33.89268,151.2373,56,17.8,9.2,60,1.6,17.5,Eucalyptus grandis,
Tuesday AM,z5518353,Baxter,-33.89266,151.23745,56,17.8,6.7,51,1.7,9.9,Eucalyptus grandis,
Monday AM,z5411018,Lismore,-33.89268,151.23707,55,17.5,15.7,43,1.6,16.2,Eucalyptus grandis,
Monday AM,z5478661,Aberdeen,-33.89253,151.23721,55,17.5,13.3,40,1.65,12.8,Eucalyptus grandis,
Monday AM,z5482324,Frankston,-33.89288,151.23645,55,17.5,7.4,45,1.9,9.2,Eucalyptus grandis,
Monday AM,z5487496,Bell,-33.89261,151.23716,55,17.5,4.9,70,1.7,15.1,Eucalyptus grandis,
Monday PM,z5480483,Snowtown,-33.89212,151.23701,55,17.5,7.9,62,1.7,16.5,Eucalyptus grandis,
Monday PM,z5525561,Bell,-33.8926,151.23723,55,17.5,9,71,1.59,27.7,Eucalyptus grandis,
Tuesday AM,z5316369,Eulo,-33.89213,151.23704,55,17.5,16.2,39,1.4,14.5,Multi-stem,
Tuesday AM,z5418475,Eulo,-33.89213,151.23708,55,17.5,6.4,79,1.6,34.5,Multi-stem,
