"Name","dbh_cm","height_m","latitude","longitude"
"Lorne",44.6,21.8,-33.89231,151.23853
"Malmsbury",15.6,6.75,-33.892815,151.235915
"Melrose",9.6,17.1,-33.89245,151.23869
"Miles",16.6,12.3,-33.89243,151.2369
"Millthorpe",77.2,23.9,-33.89275,151.236995
"Milparinka",19.1,38.4,-33.89268,151.23707
"Morpeth",14.3,9.9,-33.892795,151.236845
"Murgon",15,8.7,-33.89302,151.2368
"Murringo",25.5,13.2,-33.89225,151.23611
"Nelson",31.2,19.9,-33.89273,151.2367
"Nimmitabel",91.7,28.8,-33.89281,151.23645
"Noojee",46.8,43.4,-33.89268,151.23692
"Onslow",18.3,14.85,-33.892485,151.237435
"Orford",112.05,38.3,-33.892825,151.237145
"Penrith",36.3,34.1,-33.89272,151.23706
"Picton",50.9,29.7,-33.89257,151.237395
"Quorn",36,23.6,-33.89244,151.23691
"Railton",15,14.1,-33.892525,151.237285
"Roma",16.75,17.45,-33.89264,151.237265
"Rosebud",73.2,52,-33.89221,151.23881
"Rosevears",47.45,24.15,-33.892645,151.2366
"Sarina",70.7,18.2,-33.89275,151.23687
"Seaspray",93.9,37.9,-33.89264,151.23673
"Sevenhill",16.9,9.9,-33.8927,151.2362
"Seymour",61.4,44.6,-33.89282,151.23712
"Silverton",35,30.1,-33.8927,151.23662
"Snowtown",16.4,15.4,-33.89213,151.23705
"Sofala",25,7.3,-33.89254,151.23635
"Talbingo",30.6,25.8,-33.8926,151.23692
"Taroom",54.7,30.7,-33.89269,151.2366
"Thargomindah",92.3,52.8,-33.89217,151.23855
"Toora",81.5,71.55,-33.892575,151.2366
"Toowoomba",21.3,8.4,-33.89269,151.23618
"Toronto",54.4,20.5,-33.89262,151.2373
"Wagin",15.6,17.5,-33.89256,151.23729
"Walhalla",22.1,12.2,-33.89262,151.2369
"Walpole",30.2,20.9,-33.89232,151.23847
"Wauchope",28.55,18,-33.89291,151.237235
"Westbury",11.8,37,-33.89239,151.23869
"Wittenoom",19.75,15.9,-33.892695,151.237265
"Wollombi",49,34.5,-33.89279,151.2365
"Wondai",13.4,15.2,-33.8925,151.23731
"Wudinna",36.3,11.05,-33.89258,151.235895
"Wynyard",81.2,22.2,-33.89311,151.23706
"Yarram",54.1,34.8,-33.89217,151.237
"Yass",29.3,16.8,-33.8922,151.23714
"York",37.6,21.45,-33.8926,151.23689
